iter	Passed	Remaining
0	6	6582
1	13	6872
2	20	6874
3	26	6694
4	33	6704
5	42	7017
6	50	7201
7	59	7351
8	68	7489
9	76	7527
10	83	7516
11	91	7540
12	98	7442
13	104	7360
14	110	7271
15	116	7165
16	123	7155
17	129	7065
18	136	7050
19	140	6900
20	147	6889
21	153	6842
22	157	6686
23	163	6628
24	169	6594
25	176	6630
26	183	6630
27	189	6570
28	195	6558
29	203	6570
30	209	6559
31	216	6537
32	223	6540
33	231	6563
34	236	6526
35	242	6490
36	248	6468
37	255	6472
38	260	6430
39	270	6499
40	279	6546
41	288	6578
42	296	6598
43	303	6591
44	312	6627
45	318	6603
46	328	6662
47	337	6690
48	346	6718
49	352	6699
50	357	6656
51	366	6673
52	375	6709
53	385	6744
54	392	6750
55	399	6732
56	406	6730
57	413	6708
58	421	6726
59	429	6725
60	435	6709
61	443	6711
62	450	6703
63	457	6692
64	465	6695
65	473	6694
66	479	6677
67	487	6676
68	496	6693
69	506	6723
70	515	6750
71	524	6764
72	530	6742
73	538	6742
74	545	6730
75	553	6724
76	558	6699
77	568	6717
78	577	6728
79	586	6742
80	594	6739
81	602	6744
82	608	6718
83	614	6703
84	620	6675
85	626	6658
86	631	6629
87	637	6604
88	646	6614
89	652	6598
90	661	6603
91	666	6576
92	672	6556
93	677	6531
94	684	6521
95	691	6509
96	696	6486
97	702	6464
98	708	6449
99	714	6429
100	722	6434
101	731	6442
102	739	6444
103	747	6438
104	753	6422
105	759	6404
106	765	6390
107	771	6371
108	778	6362
109	785	6352
110	793	6354
111	800	6350
112	806	6332
113	812	6315
114	818	6299
115	824	6283
116	830	6268
117	836	6252
118	841	6228
119	847	6212
120	851	6183
121	856	6166
122	862	6149
123	868	6132
124	874	6124
125	880	6108
126	886	6090
127	892	6079
128	898	6066
129	904	6052
130	909	6034
131	915	6021
132	923	6020
133	931	6018
134	938	6013
135	945	6007
136	954	6012
137	962	6011
138	970	6009
139	975	5992
140	980	5971
141	984	5949
142	988	5924
143	995	5918
144	999	5895
145	1005	5882
146	1011	5871
147	1017	5858
148	1026	5864
149	1035	5865
150	1044	5875
151	1052	5872
152	1059	5862
153	1067	5864
154	1154	1142	155	1086	5875
156	1097	5893
157	1103	5883
158	1114	5894
159	1122	5891
160	1132	5899
161	1138	5891
162	1147	5890
163	1155	5889
164	1165	5895
165	1171	5885
166	1182	5898
167	1193	5909
168	1202	5913
169	1213	5922
170	1223	5932
171	1232	5934
172	1244	5947
173	1256	5962
174	1265	5966
175	1276	5978
176	1288	5991
177	1299	6000
178	1310	6010
179	1320	6015
180	1330	6020
181	1341	6030
182	1351	6032
183	1363	6047
184	1373	6052
185	1384	6060
186	1395	6067
187	1405	6071
188	1417	6084
189	1429	6093
190	1440	6099
191	1451	6107
192	1462	6113
193	1472	6117
194	1482	6119
195	1492	6123
196	1503	6129
197	1514	6133
198	1524	6137
199	1535	6140
200	1545	6145
201	1556	6149
202	1566	6149
203	1577	6153
204	1587	6157
205	1598	6161
206	1609	6164
207	1620	6169
208	1630	6170
209	1638	6162
210	1647	6160
211	1658	6165
212	1668	6166
213	1678	6164
214	1689	6169
215	1699	6168
216	1710	6172
217	1722	6179
218	1732	6179
219	1744	6183
220	1755	6187
221	1765	6187
222	1775	6185
223	1784	6182
224	1795	6184
225	1806	6186
226	1817	6188
227	1828	6189
228	1839	6194
229	1850	6196
230	1859	6190
231	1867	6181
232	1875	6175
233	1885	6172
234	1896	6172
235	1905	6168
236	1916	6170
237	1928	6172
238	1938	6172
239	1949	6172
240	1960	6174
241	1971	6174
242	1981	6173
243	1992	6172
244	2003	6173
245	2011	6166
246	2021	6162
247	2030	6156
248	2040	6153
249	2051	6153
250	2061	6153
251	2071	6149
252	2083	6151
253	2093	6148
254	2103	6145
255	2113	6142
256	2124	6141
257	2132	6134
258	2142	6129
259	2153	6129
260	2164	6129
261	2175	6127
262	2185	6123
263	2195	6121
264	2207	6122
265	2217	6119
266	2228	6118
267	2239	6116
268	2249	6113
269	2260	6112
270	2270	6108
271	2282	6108
272	2291	6101
273	2301	6098
274	2312	6095
275	2323	6094
276	2332	6088
277	2343	6086
278	2354	6083
279	2364	6078
280	2373	6073
281	2382	6066
282	2392	6062
283	2402	6057
284	2412	6052
285	2423	6049
286	2432	6043
287	2442	6037
288	2452	6033
289	2463	6030
290	2474	6027
291	2484	6024
292	2494	6019
293	2505	6015
294	2515	6011
295	2526	6008
296	2537	6006
297	2543	5991
298	2551	5982
299	2561	5977
300	2572	5974
301	2583	5972
302	2593	5965
303	2603	5959
304	2612	5952
305	2625	5954
306	2637	5954
307	2647	5949
308	2657	5942
309	2668	5939
310	2679	5936
311	2690	5933
312	2701	5929
313	2715	5933
314	2725	5927
315	2735	5921
316	2744	5913
317	2754	5907
318	2764	5901
319	2774	5896
320	2785	5891
321	2795	5886
322	2805	5880
323	2815	5873
324	2823	5863
325	2832	5856
326	2841	5848
327	2851	5841
328	2860	5834
329	2867	5822
330	2877	5816
331	2888	5811
332	2896	5800
333	2906	5795
334	2917	5790
335	2928	5786
336	2938	5781
337	2949	5776
338	2960	5771
339	2969	5764
340	2979	5757
341	2989	5750
342	2995	5737
343	3005	5730
344	3014	5723
345	3023	5715
346	3034	5709
347	3043	5703
348	3054	5697
349	3065	5693
350	3076	5687
351	3086	5682
352	3097	5677
353	3107	5671
354	3114	5658
355	3122	5649
356	3131	5639
357	3142	5634
358	3152	5628
359	3159	5617
360	3171	5613
361	3181	5606
362	3191	5600
363	3201	5593
364	3211	5586
365	3220	5577
366	3230	5571
367	3240	5564
368	3250	5558
369	3260	5552
370	3270	5545
371	3278	5534
372	3288	5527
373	3298	5520
374	3308	5513
375	3317	5506
376	3328	5500
377	3338	5493
378	3348	5487
379	3358	5480
380	3367	5471
381	3378	5465
382	3388	5458
383	3398	5451
384	3408	5444
385	3418	5438
386	3428	5431
387	3439	5424
388	3449	5418
389	3459	5411
390	3469	5404
391	3479	5397
392	3490	5390
393	3500	5384
394	3511	5378
395	3521	5371
396	3531	5364
397	3542	5357
398	3552	5351
399	3562	5343
400	3572	5336
401	3581	5327
402	3591	5320
403	3601	5313
404	3612	5306
405	3621	5298
406	3628	5287
407	3639	5280
408	3650	5274
409	3660	5267
410	3669	5258
411	3679	5251
412	3690	5244
413	3699	5236
414	3709	5229
415	3719	5221
416	3730	5215
417	3740	5208
418	3749	5199
419	3759	5192
420	3770	5185
421	3779	5177
422	3789	5169
423	3800	5162
424	3811	5156
425	3820	5147
426	3830	5139
427	3840	5132
428	3850	5125
429	3861	5118
430	3870	5110
431	3882	5104
432	3893	5098
433	3903	5090
434	3914	5084
435	3925	5077
436	3935	5070
437	3946	5064
438	3957	5057
439	3966	5047
440	3976	5040
441	3985	5031
442	3996	5024
443	4005	5016
444	4016	5009
445	4027	5002
446	4039	4997
447	4049	4989
448	4059	4981
449	4071	4975
450	4081	4968
451	4091	4960
452	4102	4954
453	4114	4948
454	4125	4941
455	4133	4931
456	4144	4923
457	4155	4917
458	4167	4911
459	4177	4904
460	4189	4898
461	4197	4887
462	4206	4879
463	4218	4873
464	4229	4866
465	4241	4860
466	4251	4851
467	4260	4843
468	4272	4837
469	4284	4831
470	4295	4824
471	4306	4817
472	4317	4810
473	4327	4802
474	4333	4789
475	4345	4783
476	4357	4777
477	4367	4769
478	4378	4762
479	4389	4755
480	4400	4748
481	4411	4741
482	4421	4732
483	4432	4725
484	4442	4717
485	4452	4708
486	4463	4701
487	4473	4693
488	4483	4685
489	4494	4677
490	4505	4670
491	4515	4662
492	4526	4654
493	4537	4647
494	4547	4639
495	4558	4631
496	4568	4623
497	4579	4616
498	4589	4607
499	4599	4599
500	4609	4591
501	4620	4583
502	4630	4575
503	4641	4568
504	4652	4560
505	4663	4553
506	4675	4546
507	4686	4538
508	4696	4530
509	4708	4523
510	4718	4515
511	4729	4507
512	4738	4498
513	4749	4490
514	4757	4480
515	4768	4473
516	4779	4465
517	4789	4457
518	4799	4447
519	4809	4439
520	4819	4430
521	4828	4421
522	4838	4413
523	4850	4405
524	4860	4397
525	4870	4388
526	4880	4380
527	4890	4371
528	4900	4363
529	4911	4355
530	4922	4347
531	4932	4339
532	4942	4330
533	4951	4321
534	4961	4312
535	4969	4302
536	4980	4293
537	4990	4285
538	4999	4275
539	5009	4267
540	5019	4258
541	5027	4248
542	5037	4239
543	5047	4231
544	5057	4222
545	5067	4213
546	5076	4204
547	5082	4192
548	5091	4182
549	5101	4173
550	5110	4164
551	5121	4156
552	5130	4147
553	5139	4137
554	5147	4127
555	5152	4114
556	5157	4101
557	5161	4088
558	5167	4076
559	5174	4065
560	5180	4054
561	5185	4041
562	5191	4029
563	5197	4017
564	5209	4010
565	5216	3999
566	5222	3988
567	5230	3977
568	5235	3966
569	5241	3954
570	5245	3940
571	5251	3929
572	5256	3917
573	5261	3905
574	5266	3892
575	5273	3881
576	5279	3870
577	5285	3858
578	5292	3848
579	5302	3839
580	5311	3830
581	5320	3821
582	5331	3813
583	5342	3805
584	5352	3796
585	5363	3789
586	5373	3780
587	5383	3772
588	5394	3764
589	5404	3755
590	5414	3747
591	5424	3738
592	5434	3730
593	5444	3721
594	5455	3713
595	5465	3704
596	5475	3695
597	5485	3687
598	5494	3678
599	5504	3669
600	5514	3660
601	5524	3652
602	5534	3643
603	5544	3634
604	5554	3626
605	5563	3617
606	5573	3608
607	5581	3598
608	5592	3590
609	5602	3581
610	5611	3572
611	5622	3564
612	5632	3555
613	5640	3546
614	5650	3537
615	5661	3529
616	5673	3521
617	5684	3513
618	5694	3505
619	5706	3497
620	5717	3489
621	5728	3481
622	5739	3473
623	5748	3464
624	5757	3454
625	5767	3445
626	5777	3436
627	5788	3428
628	5798	3420
629	5809	3411
630	5819	3403
631	5831	3395
632	5841	3386
633	5851	3378
634	5862	3369
635	5873	3361
636	5884	3353
637	5895	3345
638	5905	3336
639	5913	3326
640	5920	3315
641	5926	3304
642	5937	3296
643	5947	3287
644	5958	3279
645	5968	3270
646	5973	3259
647	5981	3248
648	5992	3240
649	6002	3232
650	6014	3224
651	6025	3215
652	6035	3207
653	6047	3199
654	6058	3191
655	6072	3184
656	6085	3176
657	6096	3168
658	6109	3161
659	6120	3153
660	6132	3145
661	6142	3136
662	6153	3127
663	6166	3120
664	6178	3112
665	6190	3104
666	6202	3096
667	6213	3088
668	6224	3079
669	6235	3071
670	6246	3062
671	6252	3052
672	6258	3040
673	6262	3029
674	6266	3017
675	6277	3008
676	6287	2999
677	6295	2990
678	6305	2980
679	6315	2971
680	6326	2963
681	6336	2954
682	6348	2946
683	6358	2937
684	6369	2929
685	6381	2920
686	6391	2912
687	6403	2903
688	6413	2895
689	6424	2886
690	6435	2877
691	6445	2868
692	6456	2860
693	6466	2851
694	6471	2840
695	6481	2831
696	6492	2822
697	6503	2813
698	6512	2804
699	6522	2795
700	6533	2786
701	6543	2777
702	6554	2769
703	6564	2759
704	6575	2751
705	6586	2742
706	6595	2733
707	6606	2724
708	6615	2715
709	6626	2706
710	6635	2697
711	6642	2686
712	6650	2676
713	6659	2667
714	6668	2657
715	6679	2649
716	6685	2638
717	6697	2630
718	6706	2621
719	6717	2612
720	6727	2603
721	6737	2594
722	6746	2584
723	6755	2575
724	6762	2565
725	6772	2556
726	6783	2547
727	6792	2538
728	6803	2529
729	6813	2520
730	6826	2511
731	6836	2503
732	6847	2494
733	6856	2484
734	6866	2475
735	6876	2466
736	6886	2457
737	6896	2448
738	6905	2438
739	6914	2429
740	6924	2420
741	6934	2411
742	6942	2401
743	6951	2391
744	6961	2382
745	6970	2373
746	6979	2363
747	6986	2353
748	6995	2344
749	7006	2335
750	7017	2326
751	7027	2317
752	7038	2308
753	7048	2299
754	7058	2290
755	7066	2280
756	7077	2271
757	7087	2262
758	7097	2253
759	7106	2244
760	7110	2233
761	7117	2223
762	7126	2213
763	7136	2204
764	7143	2194
765	7152	2185
766	7164	2176
767	7174	2167
768	7183	2157
769	7193	2148
770	7203	2139
771	7213	2130
772	7223	2121
773	7232	2111
774	7242	2102
775	7253	2093
776	7263	2084
777	7274	2075
778	7285	2066
779	7295	2057
780	7305	2048
781	7316	2039
782	7326	2030
783	7337	2021
784	7347	2012
785	7358	2003
786	7367	1994
787	7378	1985
788	7389	1976
789	7400	1967
790	7411	1958
791	7422	1949
792	7432	1940
793	7442	1930
794	7452	1921
795	7463	1912
796	7473	1903
797	7484	1894
798	7496	1885
799	7505	1876
800	7516	1867
801	7527	1858
802	7536	1849
803	7545	1839
804	7554	1830
805	7564	1820
806	7574	1811
807	7583	1802
808	7592	1792
809	7601	1783
810	7609	1773
811	7618	1763
812	7627	1754
813	7637	1745
814	7647	1735
815	7657	1726
816	7667	1717
817	7677	1708
818	7687	1698
819	7698	1689
820	7708	1680
821	7718	1671
822	7727	1661
823	7736	1652
824	7746	1643
825	7756	1633
826	7765	1624
827	7776	1615
828	7786	1606
829	7796	1596
830	7807	1587
831	7818	1578
832	7828	1569
833	7838	1560
834	7849	1551
835	7858	1541
836	7864	1531
837	7873	1522
838	7883	1512
839	7894	1503
840	7904	1494
841	7915	1485
