observacao;regiao;target;escore
obs5043;SULDESTE;0.0;0.9969
obs3416;NORTE;0.0;0.965
obs8834;SUL;0.0;0.9987
obs8959;NORDESTE;0.0;0.99
obs5768;CENTRO-OESTE;0.0;0.9861
obs9060;SULDESTE;0.0;0.9807
obs5549;SUL;0.0;0.9456
obs1264;NORDESTE;0.0;0.9902
obs7339;SULDESTE;0.0;0.9944
obs4294;SUL;0.0;0.9615
obs2303;NORDESTE;0.0;0.9865
obs4271;SULDESTE;1.0;0.9626
obs937;CENTRO-OESTE;0.0;0.9182
obs1190;NORDESTE;0.0;0.9561
obs5771;SULDESTE;0.0;0.9996
obs4629;NORDESTE;0.0;0.9596
obs1338;SULDESTE;0.0;0.9997
obs7948;NORDESTE;0.0;0.9944
obs4807;NORDESTE;0.0;0.9295
obs8313;CENTRO-OESTE;0.0;0.9978
obs3320;SULDESTE;0.0;0.9996
obs9139;NORDESTE;0.0;0.983
obs2272;NORDESTE;0.0;0.9456
obs2369;NORTE;0.0;0.9834
obs6167;NORDESTE;0.0;0.9311
obs7285;NORTE;0.0;0.9873
obs9388;SUL;0.0;0.9994
obs6216;NORDESTE;0.0;0.9023
obs9737;CENTRO-OESTE;1.0;0.9568
obs2610;NORDESTE;0.0;0.9222
obs2443;NORDESTE;0.0;0.9992
obs6644;CENTRO-OESTE;0.0;0.9933
obs7245;NORDESTE;0.0;0.817
obs3498;SULDESTE;0.0;0.9686
obs7136;NORTE;0.0;0.977
obs6631;SUL;0.0;0.9979
obs4417;SULDESTE;0.0;0.9997
obs1298;SULDESTE;0.0;0.972
obs6655;SUL;0.0;0.901
obs1423;SULDESTE;0.0;0.9999
obs7827;NORTE;0.0;0.9954
obs7920;SULDESTE;0.0;0.9297
obs3074;NORDESTE;0.0;0.9937
obs4906;SULDESTE;0.0;0.9268
obs1659;NORDESTE;0.0;0.9727
obs6064;SUL;0.0;0.9946
obs8595;NORDESTE;0.0;0.9868
obs4533;SULDESTE;0.0;0.9996
obs3943;NORDESTE;0.0;0.9577
obs7863;NORTE;0.0;0.9982
obs3467;SULDESTE;0.0;0.9224
obs285;SULDESTE;0.0;0.991
obs8230;SUL;0.0;0.9962
obs8225;SUL;0.0;0.9962
obs5667;NORDESTE;0.0;0.7542
obs9171;SUL;0.0;0.9993
obs1627;SUL;0.0;0.8804
obs9220;NORDESTE;0.0;0.994
obs606;SULDESTE;0.0;0.9984
obs1085;SUL;0.0;0.9583
obs508;CENTRO-OESTE;0.0;0.9405
obs4808;SULDESTE;0.0;0.9866
obs1006;SUL;0.0;0.9099
obs3551;SULDESTE;0.0;0.9965
obs791;CENTRO-OESTE;0.0;0.9984
obs4125;SULDESTE;0.0;0.9983
obs942;SULDESTE;0.0;0.9998
obs406;SULDESTE;0.0;0.9759
obs3232;NORDESTE;0.0;0.9373
obs8967;NORTE;0.0;0.9922
obs3865;NORDESTE;0.0;0.9958
obs4734;NORTE;0.0;0.9739
obs1138;SUL;0.0;0.997
obs3154;CENTRO-OESTE;0.0;0.9121
obs2116;SUL;0.0;0.9877
obs644;SUL;1.0;0.8923
obs1576;SULDESTE;0.0;0.9746
obs8033;CENTRO-OESTE;0.0;0.9966
obs6660;SULDESTE;0.0;0.9997
obs3983;SULDESTE;0.0;0.9997
obs5805;NORDESTE;0.0;0.9442
obs7188;SUL;0.0;0.9958
obs6183;NORTE;0.0;0.9916
obs4611;SULDESTE;0.0;0.9442
obs1285;SUL;0.0;0.9999
obs3775;NORDESTE;0.0;0.9756
obs6850;SULDESTE;0.0;0.9746
obs6915;NORDESTE;0.0;0.9593
obs5518;SUL;0.0;0.9987
obs284;SULDESTE;0.0;0.9956
obs9029;SULDESTE;0.0;0.9991
obs5820;NORDESTE;0.0;0.999
obs7083;SULDESTE;0.0;0.9987
obs197;NORDESTE;0.0;0.9945
obs6568;NORDESTE;0.0;0.9989
obs9019;NORDESTE;0.0;0.9992
obs472;SUL;0.0;0.9919
obs5000;SULDESTE;0.0;0.9775
obs8200;CENTRO-OESTE;0.0;0.9576
obs2496;CENTRO-OESTE;0.0;0.9981
obs4020;NORTE;0.0;0.875
obs4986;SUL;0.0;0.9914
obs5585;NORDESTE;0.0;0.9871
obs7916;CENTRO-OESTE;0.0;0.9736
obs123;SULDESTE;0.0;0.9957
obs8039;CENTRO-OESTE;0.0;0.9959
obs6142;SULDESTE;0.0;0.9489
obs4081;SULDESTE;0.0;0.9991
obs999;SULDESTE;0.0;0.9914
obs788;SUL;0.0;0.9802
obs3222;SUL;0.0;0.9806
obs423;SULDESTE;0.0;0.9985
obs5090;NORDESTE;0.0;0.9971
obs7145;NORTE;0.0;0.9902
obs4824;SUL;0.0;0.9985
obs4129;NORDESTE;0.0;0.9275
obs5780;SULDESTE;0.0;0.9616
obs4180;CENTRO-OESTE;0.0;0.9778
obs378;NORDESTE;0.0;0.961
obs7389;SUL;0.0;0.9422
obs5602;SULDESTE;0.0;0.9936
obs3108;SULDESTE;1.0;0.9628
obs5729;SULDESTE;0.0;0.9969
obs4318;NORDESTE;0.0;0.992
obs2974;NORTE;0.0;0.9846
obs5671;SULDESTE;0.0;0.9884
obs7823;NORDESTE;0.0;0.9689
obs8020;SULDESTE;0.0;0.9922
obs7820;SULDESTE;0.0;0.9966
obs8364;CENTRO-OESTE;0.0;0.9653
obs6738;SULDESTE;0.0;0.9585
obs5292;SULDESTE;0.0;0.9986
obs108;SULDESTE;0.0;0.9867
obs4950;CENTRO-OESTE;0.0;0.9994
obs6574;SUL;0.0;0.9992
obs5715;NORDESTE;0.0;0.9689
obs3832;SUL;0.0;0.9904
obs4372;NORTE;0.0;0.9894
obs5853;SUL;0.0;0.9832
obs4309;NORDESTE;0.0;0.9991
obs4089;NORDESTE;0.0;0.9893
obs3679;NORDESTE;0.0;0.9321
obs1938;SULDESTE;0.0;0.9997
obs5220;NORDESTE;0.0;0.9189
obs162;CENTRO-OESTE;0.0;0.9793
obs3451;SUL;0.0;0.9684
obs597;SUL;0.0;0.9816
obs386;SUL;0.0;0.8936
obs4951;SULDESTE;0.0;0.9882
obs1689;CENTRO-OESTE;0.0;0.9245
obs3177;NORDESTE;0.0;0.9943
obs7140;SULDESTE;0.0;0.9989
obs4621;SUL;0.0;0.9554
obs2406;CENTRO-OESTE;0.0;0.9562
obs5246;NORTE;0.0;0.9975
obs8890;NORDESTE;0.0;0.9987
obs6619;SULDESTE;0.0;0.9733
obs2426;SUL;0.0;0.954
obs9233;SULDESTE;0.0;0.9998
obs679;NORDESTE;0.0;0.9923
obs3892;SULDESTE;0.0;0.9983
obs5483;SUL;0.0;0.9692
obs3714;NORDESTE;0.0;0.9701
obs4198;CENTRO-OESTE;0.0;0.9259
obs3686;NORDESTE;0.0;0.9973
obs4817;SULDESTE;0.0;0.993
obs8312;CENTRO-OESTE;0.0;0.9485
obs5229;CENTRO-OESTE;0.0;0.9963
obs7082;CENTRO-OESTE;0.0;0.9721
obs7631;NORDESTE;1.0;0.9035
obs9798;SULDESTE;0.0;0.9289
obs1309;CENTRO-OESTE;0.0;0.967
obs1148;CENTRO-OESTE;0.0;0.8511
obs7835;SUL;0.0;0.967
obs5338;CENTRO-OESTE;0.0;0.9949
obs3772;SUL;0.0;0.9583
obs1408;SULDESTE;0.0;0.9982
obs2948;NORDESTE;0.0;0.9673
obs4276;NORDESTE;0.0;0.9636
obs7128;NORDESTE;0.0;0.4747
obs2706;NORDESTE;0.0;0.995
obs6846;NORDESTE;0.0;0.9972
obs2765;SULDESTE;0.0;0.9902
obs5402;SULDESTE;0.0;0.9891
obs7707;SUL;0.0;0.977
obs3636;NORDESTE;0.0;0.869
obs1316;SULDESTE;0.0;0.9529
obs1667;NORTE;0.0;0.9967
obs7343;SULDESTE;0.0;0.9892
obs4235;SULDESTE;0.0;0.9988
obs9484;SUL;0.0;0.9964
obs3122;SUL;0.0;0.9621
obs531;CENTRO-OESTE;0.0;0.9876
obs7388;SULDESTE;0.0;0.9949
obs4770;NORDESTE;0.0;0.9826
obs9156;SULDESTE;0.0;0.999
obs7540;SULDESTE;0.0;0.8821
obs4944;NORDESTE;0.0;0.9962
obs463;SUL;0.0;0.9996
obs3157;CENTRO-OESTE;0.0;0.9989
obs1550;SUL;0.0;0.8985
obs8738;SUL;0.0;0.9864
obs6767;CENTRO-OESTE;0.0;0.9158
obs53;SULDESTE;1.0;0.9464
obs4592;SUL;0.0;0.9744
obs1230;SULDESTE;0.0;0.9958
obs7914;NORTE;0.0;0.9671
obs8507;CENTRO-OESTE;0.0;0.987
obs5758;SULDESTE;0.0;0.9694
obs7335;SULDESTE;0.0;0.9992
obs2821;SULDESTE;0.0;0.9985
obs8048;SULDESTE;0.0;0.9967
obs1270;SULDESTE;0.0;0.9958
obs2410;SUL;0.0;0.9927
obs2379;NORTE;0.0;0.9676
obs2248;SUL;0.0;0.9997
obs7849;CENTRO-OESTE;0.0;0.9636
obs8289;NORDESTE;0.0;0.9999
obs455;SULDESTE;0.0;0.9955
obs966;SULDESTE;0.0;0.8923
obs7367;SUL;0.0;0.9955
obs4117;SUL;0.0;0.9849
obs3549;NORDESTE;0.0;0.8774
obs7590;SULDESTE;0.0;0.9895
obs3042;SULDESTE;0.0;0.9988
obs3024;SULDESTE;0.0;0.953
obs5705;NORTE;1.0;0.9413
obs6215;SUL;0.0;0.9961
obs6521;SUL;0.0;0.9845
obs6785;SULDESTE;0.0;0.9999
obs3474;SUL;0.0;0.9935
obs5958;SULDESTE;0.0;0.9618
obs8669;SULDESTE;0.0;0.9997
obs5216;SULDESTE;0.0;0.998
obs6479;CENTRO-OESTE;0.0;0.9925
obs548;SULDESTE;0.0;0.9929
obs7711;SULDESTE;0.0;0.9671
obs777;SULDESTE;0.0;0.9722
obs4786;SULDESTE;0.0;0.8803
obs7015;SUL;0.0;0.9991
obs4410;SUL;0.0;0.9713
obs9153;NORDESTE;0.0;0.9938
obs1274;SULDESTE;0.0;0.9902
obs4514;SUL;0.0;0.9974
