observacao;idade;uf;regiao;carencia;percentual_entrada_veicu;ano_modelo_veic;idade_bem;qtde_prestacoes;vlr_principal;taxa_mensal;vlr_renda;vlr_max_renda_presum;pc_compr_renda_familiar;autonomos;taxistas;status_prop;score_sis;var_1;var_2;var_3;var_4;var_5;idade_veiculo;target
obs5043;59;SP;SULDESTE;30;32.76;2022;0 Km;60;29752.78;1.02;8200.0;6683.0;8;N;N;EF;747;3.0;A4;RUIM;B3;S;3;0.0
obs3416;39;RO;NORTE;30;42.5;2021;0 Km;49;34698.44;1.42;4920.0;5986.0;22;N;N;EF;669;1.0;A2;RUIM;A3;;4;0.0
obs8834;32;PR;SUL;30;67.54;2022;0 Km;24;16245.26;0.8;6150.0;1845.0;12;N;N;EF;746;2.0;A1;BOM;A1;S;3;0.0
obs8959;64;PI;NORDESTE;30;56.94;2022;0 Km;36;39508.16;1.3;9840.0;8733.0;14;N;N;EF;683;3.0;A2;RUIM;A1;S;3;0.0
obs5768;71;DF;CENTRO-OESTE;30;42.65;2020;2 anos;60;33605.87;0.93;3280.0;2542.0;22;N;N;EF;684;;;;;S;5;0.0
obs9060;40;SP;SULDESTE;30;27.03;2012;>= 3 anos;48;23453.75;1.18;3772.0;1476.0;17;N;N;EF;679;;;;;N;13;0.0
obs5549;29;PR;SUL;30;21.62;2019;2 anos;48;25271.01;1.93;3198.0;1804.0;0;N;N;EF;667;;;;;S;6;0.0
obs1264;41;PE;NORDESTE;30;24.47;2021;0 Km;49;67397.95;0.83;4920.0;2542.0;0;N;N;EF;723;3.0;A2;BOM;B3;S;4;0.0
obs7339;43;SP;SULDESTE;30;43.64;2015;>= 3 anos;48;26757.31;0.89;5330.0;1886.0;13;N;N;EF;689;;;;;S;10;0.0
obs4294;27;PR;SUL;30;28.04;2021;0 Km;49;62131.82;0.93;3690.0;656.0;49;N;N;EF;689;2.0;A1;BOM;B3;S;4;0.0
obs2303;47;PB;NORDESTE;30;60.71;2022;0 Km;18;17669.05;0.84;4920.0;1886.0;22;N;N;EF;668;1.0;A2;BOM;A1;S;3;0.0
obs4271;39;SP;SULDESTE;30;0.0;2021;0 Km;60;41215.08;1.39;7872.0;1845.0;13;N;N;EF;733;2.0;A2;RUIM;C3;S;4;1.0
obs937;44;GO;CENTRO-OESTE;30;51.62;2013;>= 3 anos;48;27145.09;1.88;4920.0;1927.0;18;N;N;EF;640;;;;;N;12;0.0
obs1190;41;RN;NORDESTE;30;26.59;2021;0 Km;60;30785.53;1.39;4100.0;4264.0;19;N;N;EF;678;1.0;A2;BOM;B3;S;4;0.0
obs5771;44;RJ;SULDESTE;30;53.83;2022;0 Km;30;29853.98;0.0;10250.0;5945.0;9;N;N;EF;746;3.0;A4;BOM;A1;N;3;0.0
obs4629;38;CE;NORDESTE;30;30.33;2022;0 Km;49;38797.64;1.1;2460.0;3280.0;47;N;N;EF;669;3.0;A2;RUIM;B3;S;3;0.0
obs1338;55;SP;SULDESTE;30;63.35;2021;0 Km;18;29838.27;0.0;7380.0;5986.0;22;N;N;EF;760;3.0;A4;BOM;A1;N;4;0.0
obs7948;66;RN;NORDESTE;30;11.46;2022;0 Km;60;41398.74;1.18;3690.0;1845.0;27;N;N;EF;747;3.0;A2;BOM;C3;S;3;0.0
