observacao;idade;uf;regiao;carencia;percentual_entrada_veicu;ano_modelo_veic;idade_bem;qtde_prestacoes;vlr_principal;taxa_mensal;vlr_renda;vlr_max_renda_presum;pc_compr_renda_familiar;autonomos;taxistas;status_prop;score_sis;var_1;var_2;var_3;var_4;var_5;idade_veiculo;target
obs6218;41;SC;SUL;30;52.93;2021;2 anos;60;28390.79;1.02;3690.0;861.0;18;N;N;EF;677;;;;;S;0;0.0
obs623;58;PA;NORTE;30;14.65;2021;0 Km;48;35834.69;1.26;4510.0;1271.0;23;N;N;EF;692;1.0;A2;BOM;C2;;0;0.0
obs5136;45;AM;NORTE;30;45.46;2021;0 Km;60;40805.56;1.34;6150.0;1353.0;16;N;N;EF;667;2.0;A2;RUIM;A3;N;0;0.0
obs8822;45;SP;SULDESTE;30;28.9;2013;>= 3 anos;36;22291.75;1.3;4510.0;4346.0;18;N;N;EF;698;;;;;S;8;0.0
obs7577;52;RJ;SULDESTE;30;18.06;2022;0 Km;48;33605.04;1.23;7380.0;4346.0;12;N;N;EF;742;3.0;A2;BOM;C2;N;-1;0.0
obs4729;42;SP;SULDESTE;30;60.67;2021;0 Km;36;33075.27;0.67;5658.0;1968.0;18;N;N;EF;733;3.0;A2;BOM;A1;N;0;0.0
obs3574;43;PE;NORDESTE;30;50.28;2021;0 Km;48;45081.74;1.0;4100.0;4305.0;0;N;N;EF;750;3.0;A2;BOM;A2;S;0;0.0
obs8570;60;BA;NORDESTE;30;48.24;2022;0 Km;60;34788.57;1.16;4920.0;2337.0;16;N;N;EF;673;3.0;A2;RUIM;A3;S;-1;0.0
obs9080;55;PE;NORDESTE;30;42.93;2022;0 Km;60;49917.32;1.07;5248.0;6150.0;22;N;N;EF;747;3.0;A2;BOM;A3;S;-1;0.0
obs5732;41;SP;SULDESTE;30;55.15;2018;>= 3 anos;48;21603.01;1.07;4100.0;5986.0;14;N;N;EF;700;;;;;;3;0.0
obs6246;61;SC;SUL;30;63.81;2022;0 Km;24;20175.99;0.71;3444.0;3321.0;0;N;N;EF;724;1.0;A4;BOM;A1;S;-1;0.0
obs4029;55;SP;SULDESTE;30;23.94;2021;0 Km;36;32434.51;1.09;4100.0;3198.0;28;N;S;EF;747;3.0;A4;BOM;B1;N;0;0.0
obs7982;23;SC;SUL;30;10.25;2016;>= 3 anos;48;22896.19;1.31;2624.0;1107.0;25;N;N;EF;693;;;;;S;5;0.0
obs4933;43;SC;SUL;30;63.0;2022;0 Km;24;31546.45;0.11;4838.0;3157.0;29;N;N;EF;746;1.0;A4;BOM;A1;;-1;0.0
obs6599;44;PE;NORDESTE;30;14.54;2022;0 Km;60;39616.19;1.28;3936.0;1353.0;25;N;N;EF;678;3.0;A2;RUIM;C3;S;-1;0.0
obs1211;34;SC;SUL;30;21.94;2021;0 Km;60;33321.83;1.12;1640.0;1312.0;48;N;N;EF;733;3.0;A2;BOM;B3;N;0;0.0
obs502;58;SP;SULDESTE;30;37.33;2021;0 Km;24;26315.08;0.62;4018.0;2542.0;29;N;N;EF;760;3.0;A4;RUIM;B1;S;0;0.0
obs610;67;RJ;SULDESTE;30;20.8;2014;>= 3 anos;36;17278.11;1.58;4264.0;1394.0;15;N;N;EF;707;;;;;S;7;0.0
obs2989;39;TO;NORTE;30;30.19;2021;0 Km;48;29770.6;0.95;5740.0;1066.0;14;N;N;EF;693;3.0;A2;BOM;B2;S;0;0.0
obs886;53;ES;SULDESTE;30;14.47;2020;2 anos;60;35558.52;1.65;2952.0;2542.0;33;N;N;EF;643;;;;;N;1;0.0
obs5560;44;MA;NORDESTE;30;23.26;2022;0 Km;37;72273.08;0.87;5740.0;1886.0;0;N;N;EF;723;3.0;A2;RUIM;B2;S;-1;0.0
