VARIAVEL;MEDIA;MEDIANA;DESVIO_PADRAO;COEFICIENTE_VARIACAO;MINIMO;P_25;P_75;MAXIMO;KS2;FISHER_SCORE;MI_VALOR;PERCENTUAL_MISSING
IDADE;49.45160319132922;48.0;13.75439044863026;27.813841333746563;20.0;39.0;59.0;91.0;15.47;30.264482424587513;0.005919029665453213;0.0
CARENCIA;30.284510010537407;30.0;3.217552828309678;10.624417655065708;30.0;30.0;30.0;90.0;0.87;0.07620685763226008;0.002571084590017314;0.0
PERCENTUAL_ENTRADA_VEICU;38.63329369260876;37.42;21.999939299873848;56.94554410742057;0.0;23.945;55.099999999999994;94.72;37.09;70.5924592138504;0.014864173108207979;0.0
QTDE_PRESTACOES;44.776908023483365;48.0;13.3211969251053;29.75014915750539;12.0;36.0;60.0;60.0;23.11;50.46892542069164;0.0071832682684607185;0.0
VLR_PRINCIPAL;35569.14493150685;33629.76;16012.043029513412;45.016665596956976;4967.53;24242.545;44034.95;146923.55;19.65;22.449153640386484;0.005878921605151799;0.0
TAXA_MENSAL;1.0586963721210296;1.12;0.45376389540889966;42.86062627189447;0.0;0.91;1.3;2.56;40.28;83.97031860702711;0.01451502095046786;0.0
VLR_RENDA;12379.702992623814;4756.0;427786.273299383;3455.5455292769984;0.82;3608.0;6560.0;33888279.3;19.51;33.91870495222231;0.00929616833004765;0.0
VLR_MAX_RENDA_PRESUM;3003.0293542074364;1927.0;2812.535984186168;93.65662644108441;0.0;1353.0;3280.0;21525.0;28.58;23.818299154653978;0.006446228609339633;0.0
PC_COMPR_RENDA_FAMILIAR;18.31175673641427;19.0;12.593458819102802;68.77253231559037;0.0;10.0;26.0;98.0;25.23;22.501921087500936;0.006817260132849778;0.0
SCORE_SIS;705.0072256510613;702.0;36.860846700086356;5.228435306609239;604.0;678.0;742.0;777.0;36.95;88.94359331695128;0.01481830341679502;0.0
VAR_1;2.454053008318824;3.0;0.8174444799738568;33.309976483916955;1.0;2.0;3.0;3.0;17.16;51.503323144565556;0.004741710973655167;22.188770133975613
IDADE_VEICULO;4.544783983140148;4.0;2.3446437310146506;51.58977279696043;3.0;3.0;4.0;13.0;9.31;6.176931264440097;0.002715274217270025;0.0
